state,population,bll
Alabama,353913,2
Alaska,64894,
Arizona,526368,1
Arkansas,231143,
California,3007336,
Colorado,406560,3
Connecticut,230924,5
Delaware,66924,2
District of Columbia,48440,1
Florida,1317573,
Georgia,801479,2
Hawaii,108613,
Idaho,138582,
Illinois,956100,5
Indiana,508625,5
Iowa,237837,
Kansas,239482,
Kentucky,330743,6
Louisiana,371818,6
Maine,79708,
Maryland,442431,2
Massachussetts,438438,3
Michigan,695457,4
Minnesota,421361,2
Mississippi,233970,3
Missouri,451997,5
Montana,74000,
Nebraska,157168,
Nevada,218224,
New Hampshire,79493,6
New Jersey,638634,3
New Mexico,162309,2
New York State,1400567,6
North Carolina,734828,3
North Dakota,61031,
Ohio,841179,5
Oklahoma,319550,3
Oregon,280492,2
Pennsylvania,863465,
Rhode Island,66089,5
South Carolina,353117,
South Dakota,72148,
Tennesse,485409,2
Texas,2373167,
Utah,305875,
Vermont,37040,8
Virginia,614931,
Washington,536873,2
West Virginia,122930,2
Wisconsin,413384,6
Wyoming,46017,
